combo,strategy,N,stratum,mean,std6,n_pids
math500_Phi-4-mini-instruct,em_floor,1,L3,,,30
math500_Phi-4-mini-instruct,em_floor,1,L4,,,51
math500_Phi-4-mini-instruct,em_floor,1,L5,,,138
math500_Phi-4-mini-instruct,em_floor,1,Lr,,,17
math500_Phi-4-mini-instruct,cv_lowfirst,1,L1,0.9654844961240306,0.0006992875408009667,215
math500_Phi-4-mini-instruct,cv_lowfirst,1,L2,0.708139534883721,0.010262904262147009,43
math500_Phi-4-mini-instruct,cv_lowfirst,1,L3,0.5023611111111111,0.014321862334931932,30
math500_Phi-4-mini-instruct,cv_lowfirst,1,L4,0.30433006535947715,0.006062730089861255,51
math500_Phi-4-mini-instruct,cv_lowfirst,1,L5,0.05643115942028987,0.0027634977410439946,138
math500_Phi-4-mini-instruct,cv_lowfirst,1,Lr,0.0,0.0,17
math500_Phi-4-mini-instruct,cv_lowfirst,1,overall,0.5595310391363021,0.005269299225773259,494
math500_Phi-4-mini-instruct,cv_highfirst,1,L1,0.6515697674418605,0.005528210751747676,215
math500_Phi-4-mini-instruct,cv_highfirst,1,L2,0.3749031007751938,0.016017063755578858,43
math500_Phi-4-mini-instruct,cv_highfirst,1,L3,0.31555555555555553,0.017784720866414992,30
math500_Phi-4-mini-instruct,cv_highfirst,1,L4,0.1961601307189543,0.007345857153979321,51
math500_Phi-4-mini-instruct,cv_highfirst,1,L5,0.06932367149758457,0.0023832392174395326,138
math500_Phi-4-mini-instruct,cv_highfirst,1,Lr,0.01862745098039216,0.005233861888250644,17
math500_Phi-4-mini-instruct,cv_highfirst,1,overall,0.3756325910931175,0.007933499650896826,494
math500_Phi-4-mini-instruct,cv_random,1,L1,0.85265503875969,0.003261139056071015,215
math500_Phi-4-mini-instruct,cv_random,1,L2,0.5697674418604652,0.010458654335706514,43
math500_Phi-4-mini-instruct,cv_random,1,L3,0.4897222222222222,0.008277591347639638,30
math500_Phi-4-mini-instruct,cv_random,1,L4,0.29869281045751633,0.012105626798287555,51
math500_Phi-4-mini-instruct,cv_random,1,L5,0.09776570048309184,0.0036586429556561707,138
math500_Phi-4-mini-instruct,cv_random,1,Lr,0.015931372549019607,0.0038815358617312083,17
math500_Phi-4-mini-instruct,cv_random,1,overall,0.5091261808367072,0.006139864565122204,494
math500_Phi-4-mini-instruct,cv_floor,1,L1,,,215
math500_Phi-4-mini-instruct,cv_floor,1,L2,,,43
math500_Phi-4-mini-instruct,cv_floor,1,L3,,,30
math500_Phi-4-mini-instruct,cv_floor,1,L4,,,51
math500_Phi-4-mini-instruct,cv_floor,1,L5,,,138
math500_Phi-4-mini-instruct,cv_floor,1,Lr,,,17
math500_Phi-4-mini-instruct,T1.0,1,L1,0.7620930232558137,0.004475762501849098,215
math500_Phi-4-mini-instruct,T1.0,1,L2,0.47189922480620156,0.013301973215910949,43
math500_Phi-4-mini-instruct,T1.0,1,L3,0.40069444444444446,0.012860541144077826,30
math500_Phi-4-mini-instruct,T1.0,1,L4,0.2610294117647059,0.004281856431749503,51
math500_Phi-4-mini-instruct,T1.0,1,L5,0.10069444444444449,0.005456979630626363,138
math500_Phi-4-mini-instruct,T1.0,1,Lr,0.028921568627450978,0.007873714904024024,17
math500_Phi-4-mini-instruct,T1.0,1,overall,0.453162955465587,0.0068197929526272105,494
math500_Phi-4-mini-instruct,em_lowfirst,2,L1,0.9556298449612406,0.0017264276848244025,215
math500_Phi-4-mini-instruct,em_lowfirst,2,L2,0.6924418604651162,0.009107702420193377,43
math500_Phi-4-mini-instruct,em_lowfirst,2,L3,0.5110416666666667,0.011001104742504502,30
math500_Phi-4-mini-instruct,em_lowfirst,2,L4,0.3174019607843137,0.007969267671517873,51
math500_Phi-4-mini-instruct,em_lowfirst,2,L5,0.06391908212560388,0.0015304129381034908,138
math500_Phi-4-mini-instruct,em_lowfirst,2,Lr,0.0006127450980392157,0.0005535093034625595,17
math500_Phi-4-mini-instruct,em_lowfirst,2,overall,0.5578652159244266,0.004805067742897679,494
math500_Phi-4-mini-instruct,em_highfirst,2,L1,0.6811046511627907,0.004189275240616818,215
math500_Phi-4-mini-instruct,em_highfirst,2,L2,0.39205426356589146,0.006473274368727281,43
math500_Phi-4-mini-instruct,em_highfirst,2,L3,0.32,0.003515837184954835,30
math500_Phi-4-mini-instruct,em_highfirst,2,L4,0.2187908496732026,0.005355639866543513,51
math500_Phi-4-mini-instruct,em_highfirst,2,L5,0.08180857487922706,0.0030921618838398533,138
math500_Phi-4-mini-instruct,em_highfirst,2,Lr,0.030147058823529405,0.0042874646285627205,17
math500_Phi-4-mini-instruct,em_highfirst,2,overall,0.39647014170040484,0.004277977504642984,494
math500_Phi-4-mini-instruct,em_random,2,L1,0.848934108527132,0.003019153448040852,215
math500_Phi-4-mini-instruct,em_random,2,L2,0.5713662790697674,0.008268803243814064,43
math500_Phi-4-mini-instruct,em_random,2,L3,0.4845138888888889,0.006558585693295174,30
math500_Phi-4-mini-instruct,em_random,2,L4,0.3049836601307189,0.003650781710789297,51
math500_Phi-4-mini-instruct,em_random,2,L5,0.09343297101449276,0.0020780098968183375,138
math500_Phi-4-mini-instruct,em_random,2,Lr,0.02132352941176471,0.004532657355124248,17
math500_Phi-4-mini-instruct,em_random,2,overall,0.5069542847503374,0.003977463423603565,494
math500_Phi-4-mini-instruct,em_floor,2,L1,,,215
math500_Phi-4-mini-instruct,em_floor,2,L2,,,43
math500_Phi-4-mini-instruct,em_floor,2,L3,,,30
math500_Phi-4-mini-instruct,em_floor,2,L4,,,51
math500_Phi-4-mini-instruct,em_floor,2,L5,,,138
math500_Phi-4-mini-instruct,em_floor,2,Lr,,,17
math500_Phi-4-mini-instruct,cv_lowfirst,2,L1,0.9557655038759693,0.001692815868122495,215
math500_Phi-4-mini-instruct,cv_lowfirst,2,L2,0.6933624031007753,0.00948123140068125,43
math500_Phi-4-mini-instruct,cv_lowfirst,2,L3,0.5133333333333334,0.012774758097296494,30
math500_Phi-4-mini-instruct,cv_lowfirst,2,L4,0.31495098039215685,0.007973789242191701,51
math500_Phi-4-mini-instruct,cv_lowfirst,2,L5,0.06576086956521739,0.0018686662258300657,138
math500_Phi-4-mini-instruct,cv_lowfirst,2,Lr,0.0006127450980392157,0.0005535093034625595,17
math500_Phi-4-mini-instruct,cv_lowfirst,2,overall,0.5584050269905534,0.005150982273592606,494
math500_Phi-4-mini-instruct,cv_highfirst,2,L1,0.6949903100775193,0.0040713313717102954,215
math500_Phi-4-mini-instruct,cv_highfirst,2,L2,0.4217054263565891,0.0073003132565260575,43
math500_Phi-4-mini-instruct,cv_highfirst,2,L3,0.35451388888888885,0.005823901104420804,30
math500_Phi-4-mini-instruct,cv_highfirst,2,L4,0.2247140522875817,0.003977592063820719,51
math500_Phi-4-mini-instruct,cv_highfirst,2,L5,0.08307669082125603,0.0024321397153911975,138
math500_Phi-4-mini-instruct,cv_highfirst,2,Lr,0.024754901960784313,0.0036518785357233675,17
math500_Phi-4-mini-instruct,cv_highfirst,2,overall,0.4079706477732793,0.004202104749266662,494
math500_Phi-4-mini-instruct,cv_random,2,L1,0.8514341085271319,0.0030700023400848713,215
math500_Phi-4-mini-instruct,cv_random,2,L2,0.5794573643410853,0.006032706362896632,43
math500_Phi-4-mini-instruct,cv_random,2,L3,0.494513888888889,0.008899191078511162,30
math500_Phi-4-mini-instruct,cv_random,2,L4,0.30302287581699344,0.0026473613964084607,51
math500_Phi-4-mini-instruct,cv_random,2,L5,0.09415760869565219,0.002441791101388221,138
math500_Phi-4-mini-instruct,cv_random,2,Lr,0.01715686274509804,0.0026579297473972472,17
math500_Phi-4-mini-instruct,cv_random,2,overall,0.5092105263157894,0.0038355579188386877,494
math500_Phi-4-mini-instruct,cv_floor,2,L1,,,215
math500_Phi-4-mini-instruct,cv_floor,2,L2,,,43
math500_Phi-4-mini-instruct,cv_floor,2,L3,,,30
math500_Phi-4-mini-instruct,cv_floor,2,L4,,,51
math500_Phi-4-mini-instruct,cv_floor,2,L5,,,138
math500_Phi-4-mini-instruct,cv_floor,2,Lr,,,17
math500_Phi-4-mini-instruct,T1.0,2,L1,0.774205426356589,0.001988224755409603,215
math500_Phi-4-mini-instruct,T1.0,2,L2,0.496172480620155,0.008523772682277407,43
math500_Phi-4-mini-instruct,T1.0,2,L3,0.4346527777777778,0.009243679021463952,30
math500_Phi-4-mini-instruct,T1.0,2,L4,0.27679738562091505,0.004446126171638374,51
math500_Phi-4-mini-instruct,T1.0,2,L5,0.1102657004830918,0.0037951349224138323,138
math500_Phi-4-mini-instruct,T1.0,2,Lr,0.03370098039215686,0.005926610468840146,17
math500_Phi-4-mini-instruct,T1.0,2,overall,0.46707574224021586,0.004528437829716969,494
math500_Phi-4-mini-instruct,em_lowfirst,4,L1,0.9843733850129199,0.0009670264297207318,215
math500_Phi-4-mini-instruct,em_lowfirst,4,L2,0.8239825581395349,0.009460163678981556,43
math500_Phi-4-mini-instruct,em_lowfirst,4,L3,0.6654166666666667,0.010641825820324389,30
math500_Phi-4-mini-instruct,em_lowfirst,4,L4,0.38357843137254904,0.0073998142871609,51
math500_Phi-4-mini-instruct,em_lowfirst,4,L5,0.07333685587761675,0.003359551081611433,138
math500_Phi-4-mini-instruct,em_lowfirst,4,Lr,0.0037173202614379087,0.0011487404577367848,17
math500_Phi-4-mini-instruct,em_lowfirst,4,overall,0.6007696524966262,0.00489140831823796,494
math500_Phi-4-mini-instruct,em_highfirst,4,L1,0.8634463824289403,0.0023375231726032505,215
math500_Phi-4-mini-instruct,em_highfirst,4,L2,0.5489179586563308,0.01123549192823608,43
math500_Phi-4-mini-instruct,em_highfirst,4,L3,0.47512731481481474,0.0029526277356395065,30
math500_Phi-4-mini-instruct,em_highfirst,4,L4,0.29526824618736386,0.006537653814634373,51
math500_Phi-4-mini-instruct,em_highfirst,4,L5,0.10825533413848627,0.003866920528542278,138
math500_Phi-4-mini-instruct,em_highfirst,4,Lr,0.03223039215686274,0.0021367151684022895,17
math500_Phi-4-mini-instruct,em_highfirst,4,overall,0.5142593061178586,0.004758412297954566,494
math500_Phi-4-mini-instruct,em_random,4,L1,0.9521220930232558,0.0016565630291803467,215
math500_Phi-4-mini-instruct,em_random,4,L2,0.7159479974160207,0.009067221236766605,43
math500_Phi-4-mini-instruct,em_random,4,L3,0.6130555555555556,0.01066780592874335,30
math500_Phi-4-mini-instruct,em_random,4,L4,0.3649645969498911,0.0074147577029893,51
math500_Phi-4-mini-instruct,em_random,4,L5,0.10358293075684379,0.0026904133634619845,138
math500_Phi-4-mini-instruct,em_random,4,Lr,0.023447712418300654,0.004069414838370021,17
math500_Phi-4-mini-instruct,em_random,4,overall,0.5813561347278452,0.004850729429871899,494
math500_Phi-4-mini-instruct,em_floor,4,L1,,,215
math500_Phi-4-mini-instruct,em_floor,4,L2,,,43
math500_Phi-4-mini-instruct,em_floor,4,L3,,,30
math500_Phi-4-mini-instruct,em_floor,4,L4,,,51
math500_Phi-4-mini-instruct,em_floor,4,L5,,,138
math500_Phi-4-mini-instruct,em_floor,4,Lr,,,17
math500_Phi-4-mini-instruct,cv_lowfirst,4,L1,0.9847141472868217,0.0008446089070552881,215
math500_Phi-4-mini-instruct,cv_lowfirst,4,L2,0.829796511627907,0.009400373541247176,43
math500_Phi-4-mini-instruct,cv_lowfirst,4,L3,0.6768055555555555,0.011906512768073398,30
math500_Phi-4-mini-instruct,cv_lowfirst,4,L4,0.38182189542483663,0.008041556729123189,51
math500_Phi-4-mini-instruct,cv_lowfirst,4,L5,0.07416213768115941,0.003517567150363994,138
math500_Phi-4-mini-instruct,cv_lowfirst,4,Lr,0.0032475490196078433,0.001125184208935101,17
math500_Phi-4-mini-instruct,cv_lowfirst,4,overall,0.6021487010796222,0.005175686729491922,494
math500_Phi-4-mini-instruct,cv_highfirst,4,L1,0.8773594961240306,0.0021449798531452163,215
math500_Phi-4-mini-instruct,cv_highfirst,4,L2,0.5851986434108528,0.011966161737422643,43
math500_Phi-4-mini-instruct,cv_highfirst,4,L3,0.5252430555555555,0.005514212487005845,30
math500_Phi-4-mini-instruct,cv_highfirst,4,L4,0.29679330065359477,0.006350081370867191,51
math500_Phi-4-mini-instruct,cv_highfirst,4,L5,0.10642361111111108,0.002675924044620592,138
math500_Phi-4-mini-instruct,cv_highfirst,4,Lr,0.021507352941176467,0.0029663445226388685,17
math500_Phi-4-mini-instruct,cv_highfirst,4,overall,0.5257928475033736,0.004772723467684468,494
math500_Phi-4-mini-instruct,cv_random,4,L1,0.9560222868217054,0.0018061116148552336,215
math500_Phi-4-mini-instruct,cv_random,4,L2,0.7313953488372092,0.007672987005303653,43
math500_Phi-4-mini-instruct,cv_random,4,L3,0.6382986111111111,0.011255721281822628,30
math500_Phi-4-mini-instruct,cv_random,4,L4,0.36441993464052297,0.007987589293685097,51
math500_Phi-4-mini-instruct,cv_random,4,L5,0.10429498792270527,0.0019286070281781345,138
math500_Phi-4-mini-instruct,cv_random,4,Lr,0.01825980392156863,0.003116698893923887,17
math500_Phi-4-mini-instruct,cv_random,4,overall,0.5858953272604589,0.004711515658700054,494
math500_Phi-4-mini-instruct,cv_floor,4,L1,,,215
math500_Phi-4-mini-instruct,cv_floor,4,L2,,,43
math500_Phi-4-mini-instruct,cv_floor,4,L3,,,30
math500_Phi-4-mini-instruct,cv_floor,4,L4,,,51
math500_Phi-4-mini-instruct,cv_floor,4,L5,,,138
math500_Phi-4-mini-instruct,cv_floor,4,Lr,,,17
math500_Phi-4-mini-instruct,T1.0,4,L1,0.8922302971576229,0.0034137607442710485,215
math500_Phi-4-mini-instruct,T1.0,4,L2,0.6177083333333334,0.004063389012340384,43
math500_Phi-4-mini-instruct,T1.0,4,L3,0.5405555555555555,0.004162497914580723,30
math500_Phi-4-mini-instruct,T1.0,4,L4,0.33481072984749455,0.0038157545409475075,51
math500_Phi-4-mini-instruct,T1.0,4,L5,0.12345762882447663,0.0044306907447358235,138
math500_Phi-4-mini-instruct,T1.0,4,Lr,0.033680555555555554,0.005854928240772965,17
math500_Phi-4-mini-instruct,T1.0,4,overall,0.545126939946019,0.003965879849474282,494
math500_Phi-4-mini-instruct,em_lowfirst,8,L1,0.9914769287559987,0.00036042520896896826,215
math500_Phi-4-mini-instruct,em_lowfirst,8,L2,0.8690431201550388,0.005419406394494292,43
math500_Phi-4-mini-instruct,em_lowfirst,8,L3,0.7928677248677248,0.010295063176153911,30
math500_Phi-4-mini-instruct,em_lowfirst,8,L4,0.466328489729225,0.009469004446267325,51
math500_Phi-4-mini-instruct,em_lowfirst,8,L5,0.10479048050379573,0.002487675345491894,138
math500_Phi-4-mini-instruct,em_lowfirst,8,Lr,0.020257644724556486,0.002967398121727968,17
math500_Phi-4-mini-instruct,em_lowfirst,8,overall,0.6334223579782791,0.004509764954329169,494
math500_Phi-4-mini-instruct,em_highfirst,8,L1,0.9596161406423036,0.0013409563595470702,215
math500_Phi-4-mini-instruct,em_highfirst,8,L2,0.7530732050572166,0.006406031510384508,43
math500_Phi-4-mini-instruct,em_highfirst,8,L3,0.6927686838624338,0.01346366371465532,30
math500_Phi-4-mini-instruct,em_highfirst,8,L4,0.41697226112667285,0.008313338413250895,51
math500_Phi-4-mini-instruct,em_highfirst,8,L5,0.12894373993558775,0.0033995376825398287,138
math500_Phi-4-mini-instruct,em_highfirst,8,Lr,0.038925361811391224,0.0057822667201208764,17
math500_Phi-4-mini-instruct,em_highfirst,8,overall,0.6056765812769103,0.005184303560933626,494
math500_Phi-4-mini-instruct,em_random,8,L1,0.981656838316722,0.001419402203029227,215
math500_Phi-4-mini-instruct,em_random,8,L2,0.8272326042820229,0.0051122524645473705,43
math500_Phi-4-mini-instruct,em_random,8,L3,0.750217261904762,0.006344785260105446,30
math500_Phi-4-mini-instruct,em_random,8,L4,0.4363293650793651,0.009549751815683483,51
math500_Phi-4-mini-instruct,em_random,8,L5,0.1079677795031056,0.001692913857676048,138
math500_Phi-4-mini-instruct,em_random,8,Lr,0.030161939775910366,0.003799045706902825,17
math500_Phi-4-mini-instruct,em_random,8,overall,0.6210502919960157,0.004038430024051932,494
math500_Phi-4-mini-instruct,em_floor,8,L1,,,215
math500_Phi-4-mini-instruct,em_floor,8,L2,,,43
math500_Phi-4-mini-instruct,em_floor,8,L3,,,30
math500_Phi-4-mini-instruct,em_floor,8,L4,,,51
math500_Phi-4-mini-instruct,em_floor,8,L5,,,138
math500_Phi-4-mini-instruct,em_floor,8,Lr,,,17
math500_Phi-4-mini-instruct,cv_lowfirst,8,L1,0.9919912790697677,0.00048479641856545504,215
math500_Phi-4-mini-instruct,cv_lowfirst,8,L2,0.8718548126614989,0.005028696735155705,43
math500_Phi-4-mini-instruct,cv_lowfirst,8,L3,0.7982986111111111,0.009780085744025741,30
math500_Phi-4-mini-instruct,cv_lowfirst,8,L4,0.45625340413943355,0.00939934395976815,51
math500_Phi-4-mini-instruct,cv_lowfirst,8,L5,0.10310864533011271,0.0030712452069183555,138
math500_Phi-4-mini-instruct,cv_lowfirst,8,Lr,0.015870098039215685,0.0030247521115637026,17
math500_Phi-4-mini-instruct,cv_lowfirst,8,overall,0.6325598150022493,0.004492541252785455,494
math500_Phi-4-mini-instruct,cv_highfirst,8,L1,0.9644016472868217,0.0013825477011643428,215
math500_Phi-4-mini-instruct,cv_highfirst,8,L2,0.7692748708010336,0.004284783212188333,43
math500_Phi-4-mini-instruct,cv_highfirst,8,L3,0.7180497685185186,0.013761786766726937,30
math500_Phi-4-mini-instruct,cv_highfirst,8,L4,0.41151279956427006,0.009710326201867398,51
math500_Phi-4-mini-instruct,cv_highfirst,8,L5,0.1243646839774557,0.0028311791576016267,138
math500_Phi-4-mini-instruct,cv_highfirst,8,Lr,0.023008578431372547,0.004317962143562754,17
math500_Phi-4-mini-instruct,cv_highfirst,8,overall,0.6083143556005398,0.005152323162411388,494
math500_Phi-4-mini-instruct,cv_random,8,L1,0.9836926679586565,0.001384121282802664,215
math500_Phi-4-mini-instruct,cv_random,8,L2,0.8347262596899224,0.0037850823640900137,43
math500_Phi-4-mini-instruct,cv_random,8,L3,0.7653645833333335,0.004259257686694615,30
math500_Phi-4-mini-instruct,cv_random,8,L4,0.42756331699346406,0.008207051613901091,51
math500_Phi-4-mini-instruct,cv_random,8,L5,0.10579584339774557,0.0015617553234524818,138
math500_Phi-4-mini-instruct,cv_random,8,Lr,0.02016952614379085,0.004010821164135267,17
math500_Phi-4-mini-instruct,cv_random,8,overall,0.6216528902384166,0.0033721277056308558,494
math500_Phi-4-mini-instruct,cv_floor,8,L1,,,215
math500_Phi-4-mini-instruct,cv_floor,8,L2,,,43
math500_Phi-4-mini-instruct,cv_floor,8,L3,,,30
math500_Phi-4-mini-instruct,cv_floor,8,L4,,,51
math500_Phi-4-mini-instruct,cv_floor,8,L5,,,138
math500_Phi-4-mini-instruct,cv_floor,8,Lr,,,17
math500_Phi-4-mini-instruct,T1.0,8,L1,0.9388863279808047,0.001129691440541715,215
math500_Phi-4-mini-instruct,T1.0,8,L2,0.7192517995570321,0.005387377231843681,43
math500_Phi-4-mini-instruct,T1.0,8,L3,0.6460226521164022,0.007857512402541568,30
math500_Phi-4-mini-instruct,T1.0,8,L4,0.40914507469654526,0.007302532672640834,51
math500_Phi-4-mini-instruct,T1.0,8,L5,0.14662755923625484,0.003151010003940405,138
math500_Phi-4-mini-instruct,T1.0,8,Lr,0.04371002567693744,0.003239592115047982,17
math500_Phi-4-mini-instruct,T1.0,8,overall,0.5951682993541545,0.0039333766251434385,494
math500_Phi-4-mini-instruct,em_lowfirst,12,L1,0.9882735788113695,0.0005445155927384922,215
math500_Phi-4-mini-instruct,em_lowfirst,12,L2,0.8623869509043929,0.0048385293223918375,43
math500_Phi-4-mini-instruct,em_lowfirst,12,L3,0.8066472162097162,0.008362227148946138,30
math500_Phi-4-mini-instruct,em_lowfirst,12,L4,0.47043043648435806,0.009073394456743837,51
math500_Phi-4-mini-instruct,em_lowfirst,12,L5,0.11243474143610012,0.0026838234620048767,138
math500_Phi-4-mini-instruct,em_lowfirst,12,Lr,0.028883742891095836,0.0049911443691283645,17
math500_Phi-4-mini-instruct,em_lowfirst,12,overall,0.635141386695663,0.004216890318778687,494
math500_Phi-4-mini-instruct,em_highfirst,12,L1,0.9888678940568477,0.0005244895256000863,215
math500_Phi-4-mini-instruct,em_highfirst,12,L2,0.8664034237726098,0.006698184176233072,43
math500_Phi-4-mini-instruct,em_highfirst,12,L3,0.8136797839506174,0.007471917398589286,30
math500_Phi-4-mini-instruct,em_highfirst,12,L4,0.4743075096200096,0.008999156163857509,51
math500_Phi-4-mini-instruct,em_highfirst,12,L5,0.11400446297864776,0.00414196036233547,138
math500_Phi-4-mini-instruct,em_highfirst,12,Lr,0.03307238173046997,0.003000258711993228,17
math500_Phi-4-mini-instruct,em_highfirst,12,overall,0.6371596504737952,0.0045693069591948195,494
math500_Phi-4-mini-instruct,em_random,12,L1,0.9884802971576229,0.0008600463544408501,215
math500_Phi-4-mini-instruct,em_random,12,L2,0.8695736434108526,0.006651198365492711,43
math500_Phi-4-mini-instruct,em_random,12,L3,0.8092236602132435,0.0065400121411268225,30
math500_Phi-4-mini-instruct,em_random,12,L4,0.47484106352978905,0.0077055776656917195,51
math500_Phi-4-mini-instruct,em_random,12,L5,0.11311354247269102,0.0014242026281129972,138
math500_Phi-4-mini-instruct,em_random,12,Lr,0.0324770463741052,0.005300670376871967,17
math500_Phi-4-mini-instruct,em_random,12,overall,0.6367820106306948,0.0037991509385143615,494
math500_Phi-4-mini-instruct,em_floor,12,L1,0.98827923126615,0.0006796526870569,215
math500_Phi-4-mini-instruct,em_floor,12,L2,0.869547803617571,0.004251403842183148,43
math500_Phi-4-mini-instruct,em_floor,12,L3,0.8072015542328043,0.006031280769201597,30
math500_Phi-4-mini-instruct,em_floor,12,L4,0.4745369751435928,0.01043155731395757,51
math500_Phi-4-mini-instruct,em_floor,12,L5,0.1108413260451304,0.0031206337576521696,138
math500_Phi-4-mini-instruct,em_floor,12,Lr,0.03190019947372889,0.0034382512953140144,17
math500_Phi-4-mini-instruct,em_floor,12,overall,0.6358834595594465,0.004283087940741837,494
math500_Phi-4-mini-instruct,cv_lowfirst,12,L1,0.9896527777777778,0.0005296202330827986,215
math500_Phi-4-mini-instruct,cv_lowfirst,12,L2,0.8681686046511627,0.0036412712256097346,43
math500_Phi-4-mini-instruct,cv_lowfirst,12,L3,0.8150555555555555,0.0052897233235308545,30
math500_Phi-4-mini-instruct,cv_lowfirst,12,L4,0.45694716775599126,0.010257601571843881,51
math500_Phi-4-mini-instruct,cv_lowfirst,12,L5,0.10771286231884057,0.0015783940094692194,138
math500_Phi-4-mini-instruct,cv_lowfirst,12,Lr,0.014399509803921568,0.004076850596270818,17
math500_Phi-4-mini-instruct,cv_lowfirst,12,overall,0.6335460245164193,0.003886644361626934,494
math500_Phi-4-mini-instruct,cv_highfirst,12,L1,0.9902083333333334,0.00035701808966936424,215
math500_Phi-4-mini-instruct,cv_highfirst,12,L2,0.8702761627906975,0.005394402559748759,43
math500_Phi-4-mini-instruct,cv_highfirst,12,L3,0.8179953703703705,0.005619985190291485,30
math500_Phi-4-mini-instruct,cv_highfirst,12,L4,0.46041394335512,0.008572479520481876,51
math500_Phi-4-mini-instruct,cv_highfirst,12,L5,0.11127314814814813,0.00416655231003658,138
math500_Phi-4-mini-instruct,cv_highfirst,12,Lr,0.019840686274509804,0.00353328185148889,17
math500_Phi-4-mini-instruct,cv_highfirst,12,overall,0.6356895242914979,0.004168029969822876,494
math500_Phi-4-mini-instruct,cv_random,12,L1,0.9900016149870802,0.0008977370215772499,215
math500_Phi-4-mini-instruct,cv_random,12,L2,0.8714421834625323,0.007723507498529634,43
math500_Phi-4-mini-instruct,cv_random,12,L3,0.815775462962963,0.007634526111051611,30
math500_Phi-4-mini-instruct,cv_random,12,L4,0.4611587690631808,0.0072203151902626,51
math500_Phi-4-mini-instruct,cv_random,12,L5,0.10765348228663446,0.0027902082303783967,138
math500_Phi-4-mini-instruct,cv_random,12,Lr,0.016217320261437906,0.0050828550899757775,17
math500_Phi-4-mini-instruct,cv_random,12,overall,0.6345072818263608,0.004186749913297291,494
math500_Phi-4-mini-instruct,cv_floor,12,L1,0.9895849483204135,0.0006446360062811699,215
math500_Phi-4-mini-instruct,cv_floor,12,L2,0.8749305555555554,0.0031554673767166786,43
math500_Phi-4-mini-instruct,cv_floor,12,L3,0.8121712962962965,0.005777521807007948,30
math500_Phi-4-mini-instruct,cv_floor,12,L4,0.45879357298474943,0.01002047551693472,51
math500_Phi-4-mini-instruct,cv_floor,12,L5,0.10654840982286634,0.0022934242150280167,138
math500_Phi-4-mini-instruct,cv_floor,12,Lr,0.017287581699346407,0.00333825568889953,17
math500_Phi-4-mini-instruct,cv_floor,12,overall,0.6338946524966261,0.003910717219397448,494
math500_Phi-4-mini-instruct,T1.0,12,L1,0.9487257751937985,0.0011916299329580338,215
math500_Phi-4-mini-instruct,T1.0,12,L2,0.7552966192937124,0.0028128840915490846,43
math500_Phi-4-mini-instruct,T1.0,12,L3,0.6943294352252685,0.005273778231104535,30
math500_Phi-4-mini-instruct,T1.0,12,L4,0.44170812053777736,0.0070200998824328596,51
math500_Phi-4-mini-instruct,T1.0,12,L5,0.15114200036075032,0.001667279737073501,138
math500_Phi-4-mini-instruct,T1.0,12,Lr,0.04907769041960219,0.0016977832763503304,17
math500_Phi-4-mini-instruct,T1.0,12,overall,0.6103293730514125,0.0029932099659966682,494
math500_Phi-4-mini-instruct,em_lowfirst,16,L1,0.9939890180878553,0.00017481293351771863,215
