model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Phi-4-mini-instruct,math500,L1,214,32,0.6,0.994,0.004,markdown,math500
Phi-4-mini-instruct,math500,L1,214,32,0.7,0.988,0.006,markdown,math500
Phi-4-mini-instruct,math500,L1,214,32,0.8,0.987,0.008,markdown,math500
Phi-4-mini-instruct,math500,L1,214,32,0.9,0.985,0.006,markdown,math500
Phi-4-mini-instruct,math500,L1,214,32,1.0,0.984,0.006,markdown,math500
Phi-4-mini-instruct,math500,L1,214,32,1.1,0.978,0.004,markdown,math500
Phi-4-mini-instruct,math500,L1,214,32,1.2,0.895,0.013,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.1,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.2,0.999,0.002,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.3,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.4,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.5,0.998,0.002,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.6,0.993,0.006,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.7,0.989,0.005,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.8,0.986,0.007,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,0.9,0.988,0.004,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,1.0,0.987,0.007,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,1.1,0.984,0.003,markdown,math500
Phi-4-mini-instruct,math500,L1,214,64,1.2,0.91,0.01,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.1,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.2,0.999,0.002,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.3,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.4,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.5,0.998,0.002,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.6,0.996,0.003,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.7,0.991,0.005,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.8,0.988,0.006,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,0.9,0.989,0.004,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,1.0,0.987,0.003,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,1.1,0.984,0.004,markdown,math500
Phi-4-mini-instruct,math500,L1,214,128,1.2,0.913,0.013,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.1,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.2,0.999,0.002,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.3,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.4,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.5,0.998,0.002,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.6,0.997,0.002,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.7,0.992,0.005,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.8,0.987,0.006,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,0.9,0.988,0.003,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,1.0,0.986,0.003,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,1.1,0.987,0.003,markdown,math500
Phi-4-mini-instruct,math500,L1,214,256,1.2,0.914,0.008,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.1,0.702,0.068,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.2,0.698,0.081,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.3,0.667,0.055,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.4,0.636,0.048,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.5,0.589,0.029,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.6,0.612,0.062,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.7,0.593,0.065,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.8,0.543,0.072,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,0.9,0.539,0.049,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,1.0,0.5,0.042,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,1.1,0.461,0.066,markdown,math500
Phi-4-mini-instruct,math500,L2,43,1,1.2,0.333,0.032,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.1,0.702,0.068,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.2,0.698,0.081,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.3,0.667,0.055,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.4,0.636,0.048,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.5,0.589,0.029,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.6,0.612,0.062,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.7,0.593,0.065,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.8,0.543,0.072,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,0.9,0.539,0.049,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,1.0,0.5,0.042,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,1.1,0.461,0.066,markdown,math500
Phi-4-mini-instruct,math500,L2,43,2,1.2,0.333,0.032,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.1,0.853,0.04,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.2,0.864,0.049,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.3,0.845,0.026,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.4,0.795,0.058,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.5,0.767,0.038,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.6,0.779,0.064,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.7,0.748,0.031,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.8,0.698,0.083,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,0.9,0.651,0.048,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,1.0,0.667,0.048,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,1.1,0.523,0.052,markdown,math500
Phi-4-mini-instruct,math500,L2,43,4,1.2,0.426,0.05,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.1,0.922,0.032,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.2,0.926,0.031,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.3,0.876,0.017,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.4,0.891,0.032,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.5,0.864,0.025,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.6,0.868,0.029,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.7,0.853,0.048,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.8,0.822,0.058,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,0.9,0.767,0.059,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,1.0,0.764,0.041,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,1.1,0.69,0.042,markdown,math500
Phi-4-mini-instruct,math500,L2,43,8,1.2,0.477,0.046,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.1,0.953,0.019,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.2,0.953,0.027,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.3,0.942,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.4,0.953,0.013,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.5,0.926,0.028,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.6,0.926,0.034,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.7,0.895,0.035,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.8,0.884,0.054,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,0.9,0.845,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,1.0,0.818,0.025,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,1.1,0.713,0.074,markdown,math500
Phi-4-mini-instruct,math500,L2,43,16,1.2,0.504,0.056,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.1,0.988,0.012,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.2,0.977,0.019,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.3,0.977,0.013,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.4,0.977,0.013,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.5,0.961,0.029,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.6,0.942,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.7,0.934,0.025,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.8,0.907,0.045,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,0.9,0.872,0.026,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,1.0,0.853,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,1.1,0.748,0.049,markdown,math500
Phi-4-mini-instruct,math500,L2,43,32,1.2,0.496,0.037,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.1,0.996,0.009,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.2,0.984,0.011,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.3,0.984,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.4,0.977,0.023,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.5,0.953,0.03,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.6,0.953,0.027,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.7,0.922,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.8,0.922,0.032,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,0.9,0.903,0.025,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,1.0,0.888,0.037,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,1.1,0.764,0.037,markdown,math500
Phi-4-mini-instruct,math500,L2,43,64,1.2,0.461,0.031,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.1,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.2,0.992,0.011,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.3,0.996,0.009,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.4,0.984,0.017,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.5,0.961,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.6,0.969,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.7,0.926,0.025,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.8,0.942,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,0.9,0.919,0.012,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,1.0,0.895,0.029,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,1.1,0.775,0.011,markdown,math500
Phi-4-mini-instruct,math500,L2,43,128,1.2,0.43,0.029,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.1,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.2,1.0,0.0,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.3,0.996,0.009,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.4,0.984,0.017,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.5,0.973,0.016,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.6,0.965,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.7,0.926,0.016,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.8,0.942,0.012,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,0.9,0.942,0.012,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,1.0,0.919,0.022,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,1.1,0.791,0.013,markdown,math500
Phi-4-mini-instruct,math500,L2,43,256,1.2,0.434,0.017,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.1,0.457,0.054,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.2,0.473,0.083,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.3,0.527,0.08,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.4,0.452,0.081,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.5,0.489,0.051,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.6,0.57,0.101,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.7,0.478,0.098,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.8,0.462,0.078,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,0.9,0.473,0.111,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,1.0,0.419,0.053,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,1.1,0.371,0.061,markdown,math500
Phi-4-mini-instruct,math500,L3,31,1,1.2,0.269,0.064,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.1,0.457,0.054,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.2,0.473,0.083,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.3,0.527,0.08,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.4,0.452,0.081,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.5,0.489,0.051,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.6,0.57,0.101,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.7,0.478,0.098,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.8,0.462,0.078,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,0.9,0.473,0.111,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,1.0,0.419,0.053,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,1.1,0.371,0.061,markdown,math500
Phi-4-mini-instruct,math500,L3,31,2,1.2,0.269,0.064,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.1,0.591,0.066,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.2,0.575,0.109,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.3,0.661,0.078,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.4,0.618,0.039,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.5,0.608,0.068,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.6,0.699,0.078,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.7,0.613,0.081,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.8,0.629,0.055,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,0.9,0.613,0.097,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,1.0,0.532,0.064,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,1.1,0.468,0.067,markdown,math500
Phi-4-mini-instruct,math500,L3,31,4,1.2,0.323,0.053,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.1,0.715,0.09,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.2,0.731,0.106,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.3,0.747,0.09,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.4,0.806,0.042,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.5,0.785,0.066,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.6,0.79,0.052,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.7,0.715,0.051,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.8,0.688,0.036,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,0.9,0.618,0.057,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,1.0,0.656,0.04,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,1.1,0.516,0.049,markdown,math500
Phi-4-mini-instruct,math500,L3,31,8,1.2,0.355,0.037,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.1,0.796,0.044,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.2,0.801,0.068,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.3,0.833,0.054,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.4,0.812,0.039,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.5,0.817,0.036,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.6,0.828,0.066,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.7,0.796,0.052,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.8,0.758,0.031,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,0.9,0.694,0.055,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,1.0,0.731,0.036,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,1.1,0.57,0.048,markdown,math500
Phi-4-mini-instruct,math500,L3,31,16,1.2,0.333,0.044,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.1,0.817,0.048,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.2,0.849,0.03,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.3,0.903,0.032,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.4,0.887,0.031,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.5,0.882,0.024,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.6,0.866,0.034,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.7,0.823,0.055,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.8,0.796,0.04,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,0.9,0.763,0.03,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,1.0,0.769,0.043,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,1.1,0.613,0.042,markdown,math500
Phi-4-mini-instruct,math500,L3,31,32,1.2,0.323,0.053,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.1,0.806,0.074,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.2,0.892,0.015,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.3,0.914,0.03,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.4,0.919,0.031,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.5,0.887,0.041,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.6,0.871,0.049,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.7,0.844,0.034,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.8,0.849,0.03,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,0.9,0.796,0.015,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,1.0,0.78,0.06,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,1.1,0.602,0.044,markdown,math500
Phi-4-mini-instruct,math500,L3,31,64,1.2,0.312,0.015,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.1,0.833,0.039,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.2,0.903,0.049,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.3,0.946,0.03,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.4,0.925,0.015,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.5,0.925,0.03,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.6,0.909,0.034,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.7,0.871,0.019,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.8,0.871,0.026,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,0.9,0.849,0.015,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,1.0,0.817,0.048,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,1.1,0.677,0.042,markdown,math500
Phi-4-mini-instruct,math500,L3,31,128,1.2,0.301,0.024,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.1,0.844,0.022,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.2,0.903,0.026,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.3,0.925,0.036,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.4,0.919,0.016,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.5,0.919,0.016,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.6,0.914,0.024,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.7,0.887,0.016,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.8,0.871,0.026,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,0.9,0.855,0.025,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,1.0,0.817,0.036,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,1.1,0.699,0.03,markdown,math500
Phi-4-mini-instruct,math500,L3,31,256,1.2,0.323,0.026,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.1,0.281,0.048,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.2,0.333,0.07,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.3,0.356,0.076,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.4,0.34,0.064,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.5,0.343,0.052,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.6,0.33,0.055,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.7,0.343,0.019,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.8,0.359,0.039,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,0.9,0.265,0.04,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,1.0,0.33,0.035,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,1.1,0.212,0.058,markdown,math500
Phi-4-mini-instruct,math500,L4,51,1,1.2,0.193,0.046,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.1,0.281,0.048,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.2,0.333,0.07,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.3,0.356,0.076,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.4,0.34,0.064,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.5,0.343,0.052,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.6,0.33,0.055,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.7,0.343,0.019,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.8,0.359,0.039,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,0.9,0.265,0.04,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,1.0,0.33,0.035,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,1.1,0.212,0.058,markdown,math500
Phi-4-mini-instruct,math500,L4,51,2,1.2,0.193,0.046,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.1,0.301,0.057,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.2,0.412,0.093,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.3,0.428,0.064,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.4,0.415,0.059,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.5,0.415,0.052,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.6,0.415,0.051,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.7,0.438,0.024,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.8,0.458,0.058,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,0.9,0.353,0.023,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,1.0,0.425,0.045,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,1.1,0.301,0.049,markdown,math500
Phi-4-mini-instruct,math500,L4,51,4,1.2,0.235,0.061,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.1,0.35,0.021,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.2,0.428,0.067,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.3,0.477,0.056,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.4,0.542,0.029,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.5,0.493,0.057,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.6,0.503,0.056,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.7,0.539,0.032,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.8,0.536,0.035,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,0.9,0.441,0.033,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,1.0,0.497,0.048,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,1.1,0.392,0.079,markdown,math500
Phi-4-mini-instruct,math500,L4,51,8,1.2,0.242,0.033,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.1,0.382,0.037,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.2,0.484,0.045,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.3,0.503,0.081,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.4,0.605,0.037,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.5,0.575,0.062,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.6,0.572,0.029,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.7,0.588,0.039,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.8,0.585,0.038,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,0.9,0.542,0.062,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,1.0,0.549,0.051,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,1.1,0.425,0.045,markdown,math500
Phi-4-mini-instruct,math500,L4,51,16,1.2,0.271,0.018,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.1,0.382,0.029,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.2,0.474,0.05,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.3,0.585,0.051,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.4,0.605,0.038,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.5,0.585,0.038,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.6,0.575,0.018,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.7,0.618,0.037,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.8,0.608,0.06,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,0.9,0.598,0.049,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,1.0,0.556,0.037,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,1.1,0.422,0.042,markdown,math500
Phi-4-mini-instruct,math500,L4,51,32,1.2,0.261,0.018,markdown,math500
Phi-4-mini-instruct,math500,L4,51,64,0.1,0.373,0.062,markdown,math500
