model,dataset,N,stratum,acc_v1_mean,acc_v1_std,n_pids
Phi-4-mini-instruct,aime,2048,L2,0.96875,0.03832427273662095,2
Phi-4-mini-instruct,aime,2048,L3,,,0
Phi-4-mini-instruct,aime,2048,L4,,,0
Phi-4-mini-instruct,aime,2048,L5,0.018333333471056156,0.0033940323997362354,55
Phi-4-mini-instruct,aime,2048,Lr,0.0,0.0,44
Phi-4-mini-instruct,aime,2048,overall,0.03868464059713809,0.005916966165651199,102
Phi-4-mini-instruct,aime,2048,overall_md_compat,0.06803160932600151,0.00784666614661929,58
Qwen2.5-3B,aime,128,L1,1.0,0.0,3
Qwen2.5-3B,aime,128,L2,,,0
Qwen2.5-3B,aime,128,L3,0.9986111124356588,0.0037267764083652667,3
Qwen2.5-3B,aime,128,L4,0.97291665772597,0.014433772215486758,2
Qwen2.5-3B,aime,128,L5,0.03128661609988538,0.0045662427819632,55
Qwen2.5-3B,aime,128,Lr,0.0,0.0,42
Qwen2.5-3B,aime,128,overall,0.0920231479833582,0.003909835791024686,105
Qwen2.5-3B,aime,128,overall_md_compat,0.15337191330559705,0.005047576301681438,63
Qwen2.5-3B,aime,256,L1,1.0,0.0,3
Qwen2.5-3B,aime,256,L2,,,0
Qwen2.5-3B,aime,256,L3,1.0,0.0,3
Qwen2.5-3B,aime,256,L4,0.9958333373069763,0.00822849951023865,2
Qwen2.5-3B,aime,256,L5,0.025845959889843555,0.0022990494987234524,55
Qwen2.5-3B,aime,256,Lr,0.0,0.0,42
Qwen2.5-3B,aime,256,overall,0.08964947112909852,0.0020145328685683226,105
Qwen2.5-3B,aime,256,overall_md_compat,0.14941578521516424,0.0026007507501175334,63
Qwen2.5-3B,aime,512,L1,1.0,0.0,3
Qwen2.5-3B,aime,512,L2,,,0
Qwen2.5-3B,aime,512,L3,1.0,0.0,3
Qwen2.5-3B,aime,512,L4,0.9979166686534882,0.0072168714823187515,2
Qwen2.5-3B,aime,512,L5,0.022045454588916255,0.0021913987548243946,55
Qwen2.5-3B,aime,512,Lr,0.0,0.0,42
Qwen2.5-3B,aime,512,overall,0.08769841275902253,0.0018728359845562508,105
Qwen2.5-3B,aime,512,overall_md_compat,0.1461640212650376,0.00241782085945477,63
Qwen2.5-3B,aime,1024,L1,1.0,0.0,3
Qwen2.5-3B,aime,1024,L2,,,0
Qwen2.5-3B,aime,1024,L3,1.0,0.0,3
Qwen2.5-3B,aime,1024,L4,0.9979166686534882,0.0072168714823187515,2
Qwen2.5-3B,aime,1024,L5,0.01992424248689499,0.0011675488565105285,55
Qwen2.5-3B,aime,1024,Lr,0.0,0.0,42
Qwen2.5-3B,aime,1024,overall,0.08658730165796381,0.0013061788554815637,105
Qwen2.5-3B,aime,1024,overall_md_compat,0.1443121694299397,0.0016862696514828056,63
Qwen2.5-3B,aime,1536,L1,1.0,0.0,3
Qwen2.5-3B,aime,1536,L2,,,0
Qwen2.5-3B,aime,1536,L3,1.0,0.0,3
Qwen2.5-3B,aime,1536,L4,1.0,0.0,2
Qwen2.5-3B,aime,1536,L5,0.01924242425822846,0.0011585108872585155,55
Qwen2.5-3B,aime,1536,Lr,0.0,0.0,42
Qwen2.5-3B,aime,1536,overall,0.08626984127811964,0.0008384686220911681,105
Qwen2.5-3B,aime,1536,overall_md_compat,0.14378306879686611,0.00108245833655887,63
Qwen2.5-3B,aime,2048,L1,1.0,0.0,3
Qwen2.5-3B,aime,2048,L2,,,0
Qwen2.5-3B,aime,2048,L3,1.0,0.0,3
Qwen2.5-3B,aime,2048,L4,0.9958333373069764,0.0102061975281988,2
Qwen2.5-3B,aime,2048,L5,0.018863636373796233,0.0007501456846764868,55
Qwen2.5-3B,aime,2048,Lr,0.0,0.0,42
Qwen2.5-3B,aime,2048,overall,0.08599206357307373,0.0015095961494713207,105
Qwen2.5-3B,aime,2048,overall_md_compat,0.14332010595512293,0.001948880248800396,63
Qwen3-4B-Instruct-2507,aime,128,L1,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,128,L2,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,128,L3,0.9979166677503873,0.005483272557942854,11
Qwen3-4B-Instruct-2507,aime,128,L4,0.6453703701220177,0.025713204022436494,9
Qwen3-4B-Instruct-2507,aime,128,L5,0.02980324072780565,0.0028263777821746962,36
Qwen3-4B-Instruct-2507,aime,128,Lr,0.0,0.0,10
Qwen3-4B-Instruct-2507,aime,128,overall,0.4823476703500369,0.008404320200176028,93
Qwen3-4B-Instruct-2507,aime,128,overall_md_compat,0.5404618475006437,0.008896209844457105,83
Qwen3-4B-Instruct-2507,aime,256,L1,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,256,L2,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,256,L3,1.0,0.0,11
Qwen3-4B-Instruct-2507,aime,256,L4,0.6351851862337854,0.01980445561380257,9
Qwen3-4B-Instruct-2507,aime,256,L5,0.029456018815161966,0.0030078524403984517,36
Qwen3-4B-Instruct-2507,aime,256,Lr,0.0,0.0,10
Qwen3-4B-Instruct-2507,aime,256,overall,0.4814740145532247,0.006438832548248087,93
Qwen3-4B-Instruct-2507,aime,256,overall_md_compat,0.5394829319692759,0.006815685759014268,83
Qwen3-4B-Instruct-2507,aime,512,L1,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,512,L2,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,512,L3,1.0,0.0,11
Qwen3-4B-Instruct-2507,aime,512,L4,0.630787037519945,0.011429888742305428,9
Qwen3-4B-Instruct-2507,aime,512,L5,0.02910879654464896,0.0024351733203665515,36
Qwen3-4B-Instruct-2507,aime,512,Lr,0.0,0.0,10
Qwen3-4B-Instruct-2507,aime,512,overall,0.48091397863749324,0.003865012202906622,93
Qwen3-4B-Instruct-2507,aime,512,overall_md_compat,0.5388554218468298,0.004091224369072125,83
Qwen3-4B-Instruct-2507,aime,1024,L1,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,1024,L2,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,1024,L3,1.0,0.0,11
Qwen3-4B-Instruct-2507,aime,1024,L4,0.6273148177122629,0.02359170003323387,9
Qwen3-4B-Instruct-2507,aime,1024,L5,0.028182870216874593,0.001445538673279048,36
Qwen3-4B-Instruct-2507,aime,1024,Lr,0.0,0.0,10
Qwen3-4B-Instruct-2507,aime,1024,overall,0.4802195342711597,0.007393938048999251,93
Qwen3-4B-Instruct-2507,aime,1024,overall_md_compat,0.5380773094845525,0.007826691855390663,83
Qwen3-4B-Instruct-2507,aime,1536,L1,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,1536,L2,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,1536,L3,1.0,0.0,11
Qwen3-4B-Instruct-2507,aime,1536,L4,0.6249999996895591,0.020209406710913043,9
Qwen3-4B-Instruct-2507,aime,1536,L5,0.028472222344673885,0.0019445570244844127,36
Qwen3-4B-Instruct-2507,aime,1536,Lr,0.0,0.0,10
Qwen3-4B-Instruct-2507,aime,1536,overall,0.4801075268990784,0.006402207238029355,93
Qwen3-4B-Instruct-2507,aime,1536,overall_md_compat,0.5379518072483649,0.006776916835702967,83
Qwen3-4B-Instruct-2507,aime,2048,L1,1.0,0.0,18
Qwen3-4B-Instruct-2507,aime,2048,L2,1.0,0.0,9
Qwen3-4B-Instruct-2507,aime,2048,L3,1.0,0.0,11
Qwen3-4B-Instruct-2507,aime,2048,L4,0.6340277789988451,0.02554102170232174,9
Qwen3-4B-Instruct-2507,aime,2048,L5,0.027893518744450434,0.001025761893672328,36
Qwen3-4B-Instruct-2507,aime,2048,Lr,0.0,0.0,10
Qwen3-4B-Instruct-2507,aime,2048,overall,0.4807571686644067,0.007971031459433285,93
Qwen3-4B-Instruct-2507,aime,2048,overall_md_compat,0.5386797191059015,0.008437561498240192,83
